tech,supply_chain,sub_sector,hs6,essential
Batteries,Midstream,Battery Recycling & Urban Mining,711291,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,711292,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,711299,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,854913,TRUE
Batteries,Midstream,Battery Recycling & Urban Mining,854914,TRUE
Batteries,Midstream,Battery Recycling & Urban Mining,854919,TRUE
Batteries,Midstream,Battery Recycling & Urban Mining,854921,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,854929,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,854931,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,854939,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,854991,FALSE
Batteries,Midstream,Battery Recycling & Urban Mining,854999,FALSE
Batteries,Midstream,Cathode Materials & Battery Precursors,260200,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,260800,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,261590,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,281700,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,282010,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,282090,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,282530,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,282690,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,283529,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,283699,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,284290,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,285390,TRUE
Batteries,Midstream,Cathode Materials & Battery Precursors,750110,FALSE
Batteries,Midstream,Cobalt & Nickel Refining,260400,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,260500,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,282200,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,282540,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,283324,TRUE
