"tech","supply_chain","n_countries","rho","n_moved_gt3","max_move","step","from","to"
"Nuclear","Midstream",72,0.99929255900701,1,4,"Task 5 scale exposure","v3","v5"
"Nuclear","Upstream",59,0.99787890767102,1,4,"Task 5 scale exposure","v3","v5"
"Oil","Midstream",74,0.999170677526842,0,3,"Task 5 scale exposure","v3","v5"
"Oil","Upstream",72,0.98340729307351,6,28,"Task 5 scale exposure","v3","v5"
"Semiconductors","Midstream",73,0.99768604220659,4,5,"Task 5 scale exposure","v3","v5"
"Semiconductors","Upstream",59,0.99787890767102,1,4,"Task 5 scale exposure","v3","v5"
"Solar","Midstream",76,0.995953520164046,1,15,"Task 5 scale exposure","v3","v5"
"Solar","Upstream",59,0.99787890767102,1,4,"Task 5 scale exposure","v3","v5"
"Wind","Midstream",75,0.998719772403983,1,4,"Task 5 scale exposure","v3","v5"
"Wind","Upstream",59,0.99787890767102,1,4,"Task 5 scale exposure","v3","v5"
"Batteries","Midstream",74,0.998815253609774,2,6,"Task 6 m_scope firm_first","v5","v6"
"Batteries","Upstream",59,0.994967817437098,1,7,"Task 6 m_scope firm_first","v5","v6"
"Coal","Midstream",72,0.989709949192874,3,20,"Task 6 m_scope firm_first","v5","v6"
"Coal","Upstream",69,0.999817318231641,0,1,"Task 6 m_scope firm_first","v5","v6"
"Cross-cutting","Cross-cutting",0,NA,NA,NA,"Task 6 m_scope firm_first","v5","v6"
"Electric Grid","Midstream",76,0.999671907040328,0,2,"Task 6 m_scope firm_first","v5","v6"
"Electric Grid","Upstream",73,0.997500887030838,3,6,"Task 6 m_scope firm_first","v5","v6"
"Electric Vehicles","Midstream",76,0.99701982228298,2,9,"Task 6 m_scope firm_first","v5","v6"
"Electric Vehicles","Upstream",59,0.994967817437098,1,7,"Task 6 m_scope firm_first","v5","v6"
"Gas","Midstream",74,0.999052202887819,2,4,"Task 6 m_scope firm_first","v5","v6"
"Gas","Upstream",71,0.998859825620389,0,3,"Task 6 m_scope firm_first","v5","v6"
"Nuclear","Midstream",72,0.999614123094733,0,3,"Task 6 m_scope firm_first","v5","v6"
"Nuclear","Upstream",59,0.994967817437098,1,7,"Task 6 m_scope firm_first","v5","v6"
"Oil","Midstream",74,0.997660125879304,3,9,"Task 6 m_scope firm_first","v5","v6"
"Oil","Upstream",72,0.996977297575407,2,10,"Task 6 m_scope firm_first","v5","v6"
"Semiconductors","Midstream",73,0.996513636924596,1,13,"Task 6 m_scope firm_first","v5","v6"
"Semiconductors","Upstream",59,0.994967817437098,1,7,"Task 6 m_scope firm_first","v5","v6"
"Solar","Midstream",76,0.999125085440875,1,5,"Task 6 m_scope firm_first","v5","v6"
"Solar","Upstream",59,0.994967817437098,1,7,"Task 6 m_scope firm_first","v5","v6"
