"metric","value"
"as_of_date","2026-06-30"
"total_policies","55271"
"pending_policies","4723"
"pending_share","0.0855"
"pending_strength","0"
"m_duration_at_1_share","0.7603"
"m_duration_at_0_share","0.0875"
"impl_lag_median_days","0"
"impl_lag_p75_days","4"
"n_completed_lifetimes","12231"
"observed_duration_median_days","365"
"n_censored","39576"
"exposure_median_days","1478.5"
